Product Id,Product Name,Category Id,Category Name,Department Id,Department Name,Product Image
1360,Smart watch ,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Smart+watch 
1349,Web Camera,2,Cameras & Computers,10,Technology,http://images.acmesports.sports/Web+Camera
1351,Dell Laptop,2,Cameras & Computers,10,Technology,http://images.acmesports.sports/Dell+Laptop
1352,Industrial consumer electronics,2,Cameras & Computers,10,Technology,http://images.acmesports.sports/Industrial+consumer+electronics
306,Polar FT4 Heart Rate Monitor,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Polar+FT4+Heart+Rate+Monitor
203,GoPro HERO3+ Black Edition Camera,2,Cameras & Computers,10,Technology,http://images.acmesports.sports/GoPro+HERO3%2B+Black+Edition+Camera
305,Mio ALPHA Heart Rate Monitor/Sport Watch,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Mio+ALPHA+Heart+Rate+Monitor%2FSport+Watch
311,Polar Loop Activity Tracker,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Polar+Loop+Activity+Tracker
303,Garmin Forerunner 910XT GPS Watch,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Garmin+Forerunner+910XT+GPS+Watch
845,Garmin Approach S4 Golf GPS Watch,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Garmin+Approach+S4+Golf+GPS+Watch
607,Garmin Approach S3 Golf GPS Watch,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Garmin+Approach+S3+Golf+GPS+Watch
295,Fitbit The One Wireless Activity & Sleep Trac,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Fitbit+The+One+Wireless+Activity+%26+Sleep+Tracker
858,GolfBuddy VT3 GPS Watch,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/GolfBuddy+VT3+GPS+Watch
860,Bushnell Pro X7 Jolt Slope Rangefinder,1,Watches & Trackers,10,Technology,http://images.acmesports.sports/Bushnell+Pro+X7+Jolt+Slope+Rangefinder
365,Perfect Fitness Perfect Rip Deck,4,Strength Training,2,Fitness,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
60,SOLE E25 Elliptical,3,Cardio Equipment,2,Fitness,http://images.acmesports.sports/SOLE+E25+Elliptical
24,Elevation Training Mask 2.0,4,Strength Training,2,Fitness,http://images.acmesports.sports/Elevation+Training+Mask+2.0
364,Total Gym 1400,4,Strength Training,2,Fitness,http://images.acmesports.sports/Total+Gym+1400
226,Bowflex SelectTech 1090 Dumbbells,4,Strength Training,2,Fitness,http://images.acmesports.sports/Bowflex+SelectTech+1090+Dumbbells
208,SOLE E35 Elliptical,3,Cardio Equipment,2,Fitness,http://images.acmesports.sports/SOLE+E35+Elliptical
627,Under Armour Girls' Toddler Spine Surge Runni,5,Running Shoes,3,Footwear,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
278,Under Armour Men's Compression EV SL Slide,9,Slides & Sandals,3,Footwear,http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide
249,Under Armour Women's Micro G Skulpt Running S,5,Running Shoes,3,Footwear,http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe
191,Nike Men's Free 5.0+ Running Shoe,5,Running Shoes,3,Footwear,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
44,adidas Men's F10 Messi TRX FG Soccer Cleat,6,Soccer Cleats,3,Footwear,http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat
